,0
0,Arkansas
1,Connecticut
2,Delaware
3,Idaho
4,Illinois
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Jersey
18,New Mexico
19,North Carolina
20,North Dakota
21,Ohio
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Vermont
30,West Virginia
31,Wisconsin
32,Wyoming
